BaseProduktID,ProduktID
123089109,123089923
123089109,123089942
123089109,123089957
123269030,123269092
123269030,123269095
123269030,123269096
123585719,123604801
123585719,123604803
123585719,123604806
123604810,123604814
123604810,123604816
123683292,123654538
123683292,123654542
123683292,123654434
123849474,123107996
123849474,123108061
124492397,124492122
124492397,124492378
124492397,124492381
124533051,121458023
124533051,124491732
124775096,124775095
124775096,124775080
125146435,125399543
125146435,125399572
125146435,125399579
125453073,125452686
125453073,125453021
125453073,125453034
125602054,125601892
125602054,125601925
125602054,125601930
126182822,126181050
126182822,126182732
126192826,126192601
126192826,126192809
126560653,126560346
126560653,126560644
127257262,127257505
127257262,127257605
127257262,127258191
127257262,127259135
127257262,127259140
127257262,129242782
129099280,60077345
129099280,120200908
129099280,53654751
129099280,120201119
129100718,53648437
129100718,127256606
129100718,118719183
129101250,58872906
129101250,57894132
129101250,53301852
129114416,127132936
129114416,53740770
129114416,125642892
129119350,124016846
129119350,58050867
129119350,125135352
129119458,123654434
129119458,53297153
129119458,53416029
129119632,53741897
129119632,123604801
129119632,118929647
129119977,127398793
129119977,127259194
129119977,125642892
129124113,126192601
129124113,125452686
129124113,53740921
129125859,53645571
129125859,124016846
129125859,57903298
129130657,55402510
129130657,125085146
129130657,126088681
129130736,124331063
129130736,53416045
129130736,53613449
129130841,54849586
129130841,53673072
129130841,122336397
129131249,121359792
129131249,53586390
129131249,54168720
129230755,53368513
129230755,53368705
129230755,121110546
129230838,127132850
129230838,127132899
129230838,127132904
129230838,127083752
129230838,127131384
129230838,127131388
129231024,123736236
129231024,118236900
129231024,126181050
129231326,118725529
129231326,59550284
129231326,53848677
129231427,124570772
129231427,118360815
129231427,124156721
129231793,118369992
129231793,125111914
129231793,118464291
129243637,128879857
129243637,128879776
129243637,128879845
129243637,128879860
129243637,128878907
129243637,128879725
129243758,127256696
129243758,127256707
129243758,127256710
129243758,127256959
129243758,127256961
129243758,127256965
129244217,128880069
129244217,128880278
129244217,128881211
129244217,128881296
129244217,128881595
129244217,128879738
129244574,127255998
129244574,127256001
129244574,127256004
129244574,127256012
129244574,127256073
129244574,127256222
129246213,120062668
129246213,120063040
129246465,127259209
129246465,127259212
129246465,127259213
129247591,127259202
129247591,127259206
129247591,127259207
129249722,127134187
129249722,127256606
129249722,127256610
129266687,127195693
129266687,127195702
129266687,127195704
129266687,127254296
129266687,127254552
129266687,127254662
129266699,127259179
129266699,127259189
129266699,127259190
129266730,127135640
129266730,127135952
129266730,127136224
129266730,127136881
129266730,127136999
129266730,127137160
129266804,127255175
129266804,127255696
129266804,127255936
129266804,127255992
129266804,127255993
129266804,127255995
129266840,127259216
129266840,127259277
129266840,127259280
129267357,53672731
129267357,119009942
129268110,59228820
129268110,123146053
129268464,55394011
129268464,55446738
129268611,118719183
129268611,118719207
129268670,54527485
129268670,58838182
129268705,53694290
129268705,122437017
129268743,57135297
129268743,124259325
129268779,59854347
129268779,59854526
129268799,53306658
129268799,120705242
129268882,53300986
129268882,53301744
129338702,129104095
129338702,129339239
