Artikelnummer;Bestandseinheit;Produktkennung-Typ;Produktkennung-Wert;Produktkennung-Wert 2;Verfügbare Stückzahl;Käufe;Gebote;Preis;Start Date;Angebotsende;Zustand;Typ;Artikelbezeichnung;Name der Unterkategorie;Kategorienummer;Private Notizen;Website auf der ursprünglich eingestellt wurde;Download-Datum;Variantendetails;Produktreferenznummer;Zustands-ID;OutOfStockControl
122412290860;;;;;3;0;;"EUR 1,50";23.03.17;;Neu;9;"Flat Heroes PC spiel Steam Download Digital Link DE/EU/USA Key Code Gift";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
122412291871;;;;;0;0;;"EUR 5,50";23.03.17;;Neu;9;"Mini Metro PC spiel Steam Download Digital Link DE/EU/USA Key Code Gift";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
112345230559;;;;;3;2;;"EUR 8,90";23.03.17;;Neu;9;"Broforce PC spiel Steam Download Digital Link DE/EU/USA Key Code Gift";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
122412299141;;;;;0;1;;"EUR 15,00";23.03.17;;Neu;9;"Sniper Elite V2 PC spiel Steam Download Digital Link DE/EU/USA Key Code Gift";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
122412311978;;;;;3;8;;"EUR 11,76";23.03.17;;Neu;9;"Verdun PC spiel Steam Download Digital Link DE/EU/USA Key Code Gift";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
112345247826;;;;;3;0;;"EUR 9,00";23.03.17;;Neu;9;"Antichamber PC spiel Steam Download Digital Link DE/EU/USA Key Code Gift";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
122412410207;;;;;3;0;;"EUR 45,90";23.03.17;;Neu;9;"Deus Ex: Mankind Divided PC spiel Steam Download Digital Link DE/EU/USA Key Code";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
112345296620;;;;;0;1;;"EUR 17,27";23.03.17;;Neu;9;"SOMA PC spiel Steam Download Digital Link DE/EU/USA Key Code Gift";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
122412412269;;;;;0;0;;"EUR 6,70";23.03.17;;Neu;9;"Nuclear Throne PC spiel Steam Download Digital Link DE/EU/USA Key Code Gift";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
122412414592;;;;;0;1;;"EUR 9,86";23.03.17;;Neu;9;"resident evil 4 / biohazard 4 PC spiel Steam Download Link DE/EU/USA Key Code";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
122412415542;;;;;3;1;;"EUR 22,10";23.03.17;;Neu;9;"NARUTO SHIPPUDEN: Ultimate Ninja STORM 4 PC Steam Download Link DE/EU/USA Key";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
122412417739;;;;;3;3;;"EUR 28,40";23.03.17;;Neu;9;"Wargame: Red Dragon PC spiel Steam Download Digital Link DE/EU/USA Key Code Gift";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
112345305077;;;;;3;2;;"EUR 4,80";23.03.17;;Neu;9;"Grand Theft Auto: Vice City PC spiel Steam Download Link DE/EU/USA Key Code";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
122412420741;;;;;0;2;;"EUR 7,80";23.03.17;;Neu;9;"Hand of Fate PC spiel Steam Download Digital Link DE/EU/USA Key Code Gift";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
122412421457;;;;;0;2;;"EUR 3,56";23.03.17;;Neu;9;"Deus Ex: Game of the Year Edition PC spiel Steam Download Link DE/EU/USA Key";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
